,deltaTEM1X,3pMFE,median3,median5,WT_rpkm,WT_TE,5pMFE,pALe,tAI,ORFLen
YAL033W,-0.27948417187947133,-8.03,79,10,2.1624390529357482,0.1397359341322985,0.0,31.4,0.280708401,522
YAL034C,1.4213809846124719,-10.7,114,620,2.0345882983055046,-0.9928214817166601,-224.07,NaN,NaN,1242
YAL034C-B,,NaN,NaN,NaN,,,NaN,NaN,NaN,354
YAL034W-A,-0.140240824606556,-11.08,88,26,2.024007092192176,-0.004134713299750484,-1.18,36,0.313451546,870
YAL035W,0.19238905534961692,-14.67,120,35,3.620495026801413,0.03547793618614419,-1.36,27.6,0.499843736,3009
YAL036C,0.029005426773099974,-28.91,193,37,2.9464374283042045,0.1562686364996043,-5.79,23.9,0.396670636,1110
YAL037C-A,,-6.25,55,192,,,-44.5,NaN,NaN,93
YAL037C-B,,NaN,NaN,NaN,,,NaN,,0.35866144,975
YAL037W,,-25.02,143,143,1.5488977082469513,-0.7126829999186614,-22.88,NaN,NaN,804
YAL038W,0.22274210394873895,-19.67,147,38,4.473313792566129,0.49858540363770565,0.0,22,0.623156181,1503
YAL039C,-0.117925730273371,-6.07,69,56,2.2794057480820302,0.22525446045680605,-1.2,NaN,NaN,810
YAL040C,-0.46325811162047,-17.98,177,321,2.7363047244390115,-0.5922224944534168,-47.09,31.2,0.380077834,1743
YAL041W,0.23523906644496406,-3.65,62,64,2.8662218329683125,-0.1289177801924612,-6.31,33.3,0.330031245,2565
YAL042C-A,,NaN,NaN,NaN,,,NaN,NaN,NaN,378
YAL042W,-0.1100263047881552,-14.9,95,29,3.0847995099853414,-0.10910121211894692,-0.67,31.6,0.344683718,1248
YAL043C,0.023282475742329,-10.1,81,22,2.8336874674413086,-0.15728934820649348,0.0,,0.347319487,2358
YAL044C,-0.16802201730270494,-15.41,89,14,2.587453215036375,0.2655969500930976,0.0,28.7,0.403541293,513
YAL044W-A,-0.07412047713332198,-24.11,131,12,1.9681426554710564,0.15770463235572027,0.0,33,0.37517465,333
YAL045C,,NaN,NaN,NaN,,,NaN,NaN,NaN,309
YAL046C,-0.367888561348297,-21.39,122,24,1.9208856891739947,0.25343930506655427,0.0,,0.359256476,357
YAL047C,-0.3086073185875977,-5.33,55,29,2.1420752243255077,0.04591808221800615,-0.64,,0.353799927,1869
YAL047W-A,,-32.48,150,322,,,-74.68,NaN,NaN,330
YAL048C,0.1869034342061767,NaN,NaN,NaN,2.3852449377110756,-0.3521874736473237,NaN,,0.355659711,1989
YAL049C,-0.15809240031248797,-17.41,119,66,2.8386102785199157,0.2143774570743851,-6.71,33.9,0.398815034,741
YAL051W,0.35310770133910296,-6.66,80,28,2.660469985462956,-0.2506052549340163,0.0,40,0.339452406,3144
YAL053W,-0.10559278025084451,-4.42,65,140,2.9039532564449586,-0.0884911979721548,-17.27,34.5,0.368625578,2352
YAL054C,-0.4855991102787314,-9.06,163,51,1.5344537271931504,-0.07178555520159155,-1.25,NaN,NaN,2142
YAL055W,-0.24872821920740018,-6.51,94,7,1.7076443542971038,-0.13731471121023042,0.0,32.9,0.303337896,543
YAL056C-A,,NaN,NaN,NaN,,,NaN,NaN,NaN,351
YAL056W,0.1471914090734458,-13.92,98,41,2.4324869368962396,-0.5893720311526498,-4.21,35.2,0.307766138,2643
YAL058W,-0.06484987081336499,-31.18,132,49,2.368651224432797,-0.29219339886645607,-5.82,34.8,0.319886675,1509
YAL059C-A,,NaN,NaN,NaN,,,NaN,NaN,NaN,423
YAL059W,-0.317371242308592,-35.98,197,7,2.3180570402275364,0.20062401558247434,0.0,,0.399201405,639
YAL060W,-0.11790799940309604,-23.59,112,48,2.8371097694014122,0.013707912886362562,-3.12,,0.408900276,1149
YAL061W,,-37.52,167,97,,,-10.62,NaN,NaN,1254
YAL062W,,-13.76,86,38,,,-2.08,NaN,NaN,1374
YAL063C,,NaN,NaN,NaN,,,NaN,NaN,NaN,3969
YAL063C-A,,0.0,32,932,,,-238.87,NaN,NaN,291
YAL064C-A,,NaN,NaN,NaN,,,NaN,NaN,NaN,381
YAL064W,,NaN,NaN,NaN,,,NaN,NaN,NaN,285
YAL064W-B,,-154.4,554,728,,,-215.0,NaN,NaN,381
YAL065C,,NaN,NaN,NaN,,,NaN,NaN,NaN,387
YAL066W,,NaN,NaN,NaN,,,NaN,NaN,NaN,309
YAL067C,,-36.48,222,33,,,0.0,NaN,NaN,1782
YAL067W-A,,NaN,NaN,NaN,,,NaN,NaN,NaN,228
YAL068C,,NaN,NaN,NaN,,,NaN,NaN,NaN,363
YAL068W-A,,NaN,NaN,NaN,,,NaN,NaN,NaN,255
YAL069W,,NaN,NaN,NaN,,,NaN,NaN,NaN,315
YAR002C-A,-0.2873426100932847,-17.46,115,26,2.8171861609009787,0.18134796073563964,-0.69,,0.471010104,660
YAR002W,-0.06201283365853599,-13.94,100,42,2.6958239532069985,0.319440852258094,-2.07,30.2,0.353950636,1620
YAR003W,-0.056094911966503194,-129.04,495,61,2.467141035016834,-0.3738325586129024,-8.15,35.1,0.313857482,1281
YAR007C,0.25332830908667003,-4.04,73,63,2.737594009068054,0.4137112725582036,-7.74,29.8,0.401189813,1866
YAR008W,-0.016792181894898006,-13.91,97,89,2.1282212280627992,-0.14785113970610583,-19.33,32.2,0.348491595,828
YAR009C,,NaN,NaN,NaN,,,NaN,NaN,NaN,3591
YAR010C,,NaN,NaN,NaN,,,NaN,NaN,NaN,1323
YAR014C,0.0972963719779706,-21.95,178,145,2.8766922285983023,-0.08881430435415293,-41.02,33.9,0.334052117,2130
YAR015W,0.419291832634585,-23.84,120,89,2.814757268898783,0.02589955599651805,-7.55,34.6,0.436138626,921
YAR018C,-0.1907408724552216,-26.4,111,16,2.2940160759635555,-0.12516686560359205,-2.98,,0.322600127,1308
YAR019C,0.2300264660940604,-8.83,74,17,2.3436814511396955,-0.434970910058377,-2.56,31.8,0.34015649,2925
YAR019W-A,,NaN,NaN,NaN,,,NaN,NaN,NaN,333
YAR020C,,NaN,NaN,NaN,,,NaN,NaN,NaN,168
YAR023C,,-2.31,33,554,1.547077239364308,-0.2719771920203524,-132.0,NaN,NaN,540
YAR027W,,-12.04,83,96,,,-7.39,,0.332838522,708
YAR028W,,-38.66,198,39,,,-6.53,34.8,0.332402502,705
YAR029W,,-55.31,264,1189,,,-336.23,,0.340487958,225
YAR030C,,NaN,NaN,NaN,,,NaN,NaN,NaN,342
YAR031W,,NaN,NaN,NaN,,,NaN,NaN,NaN,897
YAR033W,,-20.83,93,60,,,-7.26,NaN,NaN,705
YAR035C-A,,NaN,NaN,NaN,,,NaN,NaN,NaN,81
YAR035W,,-4.37,104,44,,,0.0,NaN,NaN,2064
YAR042W,,-43.26,164,36,,,0.0,,0.385928257,3567
YAR047C,,NaN,NaN,NaN,,,NaN,NaN,NaN,321
YAR050W,,NaN,NaN,NaN,,,NaN,NaN,NaN,4614
YAR053W,,NaN,NaN,NaN,,,NaN,NaN,NaN,297
YAR060C,,NaN,NaN,NaN,,,NaN,NaN,NaN,336
YAR064W,,NaN,NaN,NaN,,,NaN,NaN,NaN,300
YAR066W,,NaN,NaN,NaN,,,NaN,NaN,NaN,612
YAR068W,,NaN,NaN,NaN,,,NaN,NaN,NaN,486
YAR069C,,NaN,NaN,NaN,,,NaN,NaN,NaN,294
YAR070C,,NaN,NaN,NaN,,,NaN,NaN,NaN,300
YAR071W,,NaN,NaN,NaN,,,NaN,NaN,NaN,1404
YAR073W,,NaN,NaN,NaN,,,NaN,NaN,NaN,1212
YAR075W,,NaN,NaN,NaN,,,NaN,NaN,NaN,474
YBL001C,-0.1589376722355152,-16.16,96,45,2.4005218102733017,0.3314475319390816,-3.36,23.3,0.428436406,315
YBL002W,-0.08570594112486107,-44.78,212,53,3.053089144181679,0.4554257294560616,0.0,27.7,0.5792821,396
YBL003C,-0.24603769985865498,-35.53,195,35,3.084625304679039,0.3463111227182651,0.0,,0.534599333,399
YBL004W,0.06671088677221099,NaN,NaN,NaN,3.2786480636533883,-0.2419385253949896,NaN,29,,7482
YBL005W,-0.340304190267649,-62.8,285,62,2.4330096599505664,-0.4008170450924471,-15.17,38.4,0.350525043,2931
YBL005W-A,,NaN,NaN,NaN,,,NaN,NaN,NaN,1323
YBL005W-B,,NaN,NaN,NaN,,,NaN,NaN,NaN,5268
YBL006C,-0.010173615407137059,-35.47,182,21,2.3936281692328865,0.13550291296709546,-0.45,32.6,0.254360369,543
YBL006W-A,,NaN,NaN,NaN,,,NaN,NaN,NaN,150
YBL007C,0.14331971651773903,-10.17,84,52,3.1904539985050224,0.17614421346273143,-9.32,28.6,0.408597243,3735
YBL008W,-0.26007399875272297,-8.44,81,64,2.447734078099121,-0.14217386206205626,-9.82,39.6,0.341807291,2523
YBL008W-A,,NaN,NaN,NaN,,,NaN,NaN,NaN,240
YBL009W,-0.332704334562083,-15.44,118,34,2.682587830671259,0.10527445407483224,-3.32,36.8,0.344984573,2031
YBL010C,0.20794510934236932,-45.68,208,20,2.026392989248524,0.015273462069034566,0.0,29.7,0.317658069,843
YBL011W,-0.1730815406326099,-50.63,181,93,2.670912870482115,-0.3401723463442169,-20.2,31.3,0.383991718,2280
YBL012C,,NaN,NaN,NaN,,,NaN,NaN,NaN,402
YBL013W,0.867549970973592,NaN,NaN,NaN,1.4667714371842757,-0.07934062932324729,NaN,NaN,NaN,1206
YBL014C,0.018534679665455023,-12.7,117,29,2.5944841010581574,-0.6884363485101144,-3.26,,0.321803426,2685
YBL015W,0.799218751247004,-47.41,251,85,2.11376067463881,0.043444440534261886,-6.49,28.1,0.414876348,1581
YBL016W,0.1271445230843391,NaN,NaN,NaN,3.093129024959739,0.015612043004659579,NaN,52.7,0.322597222,1062
YBL017C,0.012381548783906703,NaN,NaN,NaN,3.1264598960243655,-0.23803789296279065,NaN,,0.377316767,4740
YBL018C,-0.5702415466507064,-8.8,65,41,2.0042474920932074,0.004091564568582787,-2.61,29.8,0.365899701,402
YBL019W,0.1445795630575965,-14.78,112,40,1.9180596170872612,-0.10036369817300653,-4.45,29.9,0.33196427,1563
YBL020W,-0.495431448823514,-12.31,80,55,2.6225411781030297,-0.43241523605301396,-7.2,39,0.36364629,1725
YBL021C,0.189488615705419,-45.27,170,32,1.886277379665755,0.07441556201198024,-2.86,39.5,0.299457622,435
YBL022C,-0.039453386797783985,-6.47,76,119,3.2451953597888337,0.06995644546822966,-30.61,27.3,0.399218775,3402
YBL023C,0.017791098335993016,-26.98,174,75,2.6704919140190744,0.1212215789790815,-4.08,,0.390271377,2607
YBL024W,0.07994308209914597,-19.49,125,23,3.0836784693694925,0.26709258719794227,0.0,30.1,0.437049821,2055
YBL025W,0.5470993872536324,-132.4,466,58,1.884084842394315,0.0427092255811675,0.0,,0.328474933,438
YBL026W,0.04694684649372505,-25.13,134,65,2.176410407699603,0.3767488163072751,-4.0,34.9,0.406572849,288
YBL027W,-0.269715990678909,-9.46,96,31,3.727991781061741,0.41498062710035105,-0.3,,0.615908195,570
YBL028C,-0.2090841572781169,-41.91,217,39,2.2616567970147585,0.4763304922618832,-2.12,34.4,0.458249708,321
YBL029C-A,0.45110144718234,-17.3,128,90,1.373520166933058,0.22644732175735424,-12.5,32.4,0.281348537,285
YBL029W,-0.02212213920280992,NaN,NaN,NaN,2.012867306118843,0.13332697260235554,NaN,,0.315271892,1131
YBL030C,-0.2189081564078733,-43.69,267,121,3.394310805710116,0.24167869728093397,-15.62,31.9,0.517465984,957
YBL031W,-0.2322309931045143,-19.05,150,30,2.201322507341331,-0.034932696296182474,0.0,34.9,0.344642986,1017
YBL032W,-0.19895074342403601,-37.87,203,76,2.70339919493012,0.20541854394844541,-8.91,24.3,0.422966416,1146
YBL033C,0.049553545190477,-11.46,70,28,2.6756492562705327,0.15033906102294967,0.0,33.1,0.32368093,1038
YBL034C,-0.2607339591442364,NaN,NaN,NaN,2.432372167405011,-0.06017497655731957,NaN,,0.360956333,4542
YBL035C,0.21140438627833233,-5.1,63,81,2.5321390553073466,0.07202131274486662,-18.73,33,0.372874437,2118
YBL036C,-0.021103981192993004,-29.4,146,13,2.5741684887678438,0.23115063685507511,0.0,36.8,0.449760879,774
YBL037W,0.161474131228809,-14.84,132,98,2.663652019739469,0.008703915042278455,-14.48,25.9,0.353247174,3078
YBL038W,-0.048827574807383305,-13.88,92,63,2.262024506287829,0.1625578783645937,-12.25,36.9,0.370009902,699
YBL039C,0.06613744074983,-25.23,184,65,3.170735784281441,0.3122859479110617,-8.58,29.1,0.44883048,1740
YBL039C-A,,-327.48,1143,756,,,-240.53,NaN,NaN,84
YBL039W-B,,-16.22,135,211,,,-42.52,38.2,0.322563149,180
YBL040C,-0.5554498587125886,-8.85,94,43,2.6022485914017968,0.07846003441237857,-4.26,27.3,0.354536076,660
YBL041W,0.114083222161916,-7.21,75,35,3.037854024520509,0.28844494002950455,-0.95,37.5,0.383328971,726
YBL042C,-0.348400773223456,-18.36,140,61,2.9580192391272604,-0.1930643354067099,-5.79,30.4,0.378359045,1920
YBL043W,,-17.51,183,133,,,-17.35,NaN,NaN,774
YBL044W,,NaN,NaN,NaN,,,NaN,NaN,NaN,369
YBL045C,0.01490231380266789,-34.33,186,171,2.940909105394683,0.3597946287221307,-29.03,27.7,0.463894946,1374
YBL046W,0.1892596832025389,-26.99,183,0,2.393464663645072,-0.13259657042980869,0.0,33.3,0.354677974,1326
YBL047C,-0.0325336377909166,-26.1,141,161,3.1356202285037518,0.3244990825565582,-34.36,,0.406727377,4146
YBL048W,,NaN,NaN,NaN,,,NaN,NaN,NaN,312
YBL049W,,-50.66,259,61,,,-10.27,NaN,NaN,417
YBL050W,-0.11040222513113719,-5.32,67,67,2.617540501161108,0.30324371053714694,-9.36,29.8,0.374490952,879
YBL051C,0.1953652382266911,-69.77,447,63,2.7988466060423005,0.23901398321591502,-9.06,35.4,0.387254026,2007
YBL052C,0.1277697145037392,-14.24,73,236,2.6544114476394367,-0.7226366875975169,-51.29,33,0.341637286,2496
YBL053W,,NaN,NaN,NaN,,,NaN,NaN,NaN,375
YBL054W,0.06970478544070302,-20.91,145,115,2.630631371796353,-0.030590115158107663,-21.24,23.8,0.356742293,1578
YBL055C,0.061497293374842804,-19.55,94,359,2.4209809210723745,-0.05275924737677685,-122.43,,0.344659707,1257
YBL056W,0.15114888851885475,-51.36,269,82,2.9750296543627917,-0.137199358337056,-12.87,,0.384390996,1407
YBL057C,0.04413592800395999,-11.63,73,25,2.3693153385166124,-0.09988454800671198,0.0,,0.369032725,627
YBL058W,-0.0653720274413248,-16.05,117,31,2.9292551640025106,0.2879647517076701,0.0,31.6,0.38105257,1272
YBL059C-A,-0.1463626179955646,-31.12,178,17,1.696963296092888,0.3070301041881036,0.0,,0.426934107,330
YBL059W,-0.53458286210533,NaN,NaN,NaN,1.8189017029772698,0.26618429853163317,NaN,37.8,0.298722669,582
YBL060W,-0.45530582858339375,-4.61,38,18,2.49790610514793,-0.29234463200875715,-0.23,46,0.352392359,2064
YBL061C,-0.06706357219179301,-10.79,68,100,2.9143157956517003,-0.19442376957384347,-14.79,30.5,0.34208335,2091
YBL062W,,NaN,NaN,NaN,,,NaN,NaN,NaN,381
YBL063W,-0.06505962702577199,-12.99,78,0,2.426429805697208,-0.19234457639714905,0.0,24.3,0.354173429,3336
YBL064C,-0.0380635575709599,-6.84,65,30,2.046049709156974,0.28437338811966856,-0.86,27.3,0.4134365,786
YBL065W,,NaN,NaN,NaN,,,NaN,NaN,NaN,345
YBL066C,0.09009345515953289,-54.79,327,39,2.4402940713605275,-0.3203725882496899,-4.11,30.9,0.342126368,3447
YBL067C,-0.038680877536986985,-19.55,142,153,2.679829003866668,-0.21532575673921706,-31.2,32.1,0.355836669,2244
YBL068W,-0.015168418020653107,-25.95,164,42,2.613787972224195,0.05121389014366219,-2.76,36.6,0.384906227,981
YBL068W-A,,-15.3,147,1125,,,-332.78,NaN,NaN,237
YBL069W,0.0616520772949546,-15.3,147,81,2.446539490890248,0.1489665647514219,-14.72,34.3,0.377147293,1290
YBL070C,,NaN,NaN,NaN,,,NaN,NaN,NaN,321
YBL071C,,NaN,NaN,NaN,,,NaN,NaN,NaN,309
YBL071C-B,,NaN,NaN,NaN,,,NaN,NaN,NaN,99
YBL071W-A,-0.245995963568504,-108.02,438,35,2.0768213239267626,0.13385889442354598,-2.3,34.9,0.369441462,249
YBL072C,-0.14569782203758702,-11.9,111,32,3.0159978423501825,0.5091516390892626,0.0,,0.591907364,603
YBL073W,,NaN,NaN,NaN,,,NaN,NaN,NaN,312
YBL074C,0.11117483445060902,-68.71,289,19,1.987690097838216,-0.20219664208642082,-1.26,46.8,0.35721387,1068
YBL075C,,-8.73,81,167,2.3870205294190106,-1.9030352467678446,-34.85,,0.408193411,1950
YBL076C,0.22813838457132501,-13.12,90,21,3.7570058019662484,0.18141531769584338,0.0,25.2,0.47400246,3219
YBL077W,,NaN,NaN,NaN,,,NaN,,0.302291747,432
YBL078C,0.20121921739945203,-17.02,164,32,1.5848999143050555,0.3684022143951415,0.0,,0.410320541,354
YBL079W,0.17725587131229603,NaN,NaN,NaN,3.126485249815327,-0.19553695872602825,NaN,33.3,0.364028217,4509
YBL080C,0.21050477772100762,-6.56,105,44,2.152816282683647,-0.172012741199136,-6.26,35.8,0.350976066,1626
YBL081W,-0.14194892644868098,-16.08,125,314,2.4620379569650472,-0.012353260635158816,-52.98,,0.360035453,1107
YBL082C,-0.6264292474960763,-3.7,54,46,2.671362690271369,-0.3892459474498667,-4.16,38.1,0.325066818,1377
YBL083C,,-7.75,55,1035,,,-369.88,NaN,NaN,426
YBL084C,0.13076769049373474,NaN,NaN,NaN,2.4537344288172966,-0.34114883315887073,NaN,,0.32913473,2277
YBL085W,-0.40912954050056305,-9.12,116,192,2.967260971349487,-0.03923469855223794,-40.83,28.6,0.349312757,2943
YBL086C,-0.08621595660009299,-6.21,47,70,2.346065008070246,-0.014131732228715414,-11.17,36.3,0.34119911,1401
YBL087C,-0.3375302769307149,-7.77,105,38,3.2910961002689407,0.37178178804970835,0.0,,0.550231168,414
YBL088C,-0.1057335225968646,NaN,NaN,NaN,2.749293236699393,-1.0918912770917781,NaN,40.1,,8364
YBL089W,-0.364939142486801,-11.16,85,39,2.2680634867074114,-0.2785613573086275,-3.63,,0.309725066,1380
YBL090W,-0.311000432567211,-14.1,123,17,2.048253104604205,0.414264599196744,0.0,34.5,0.386132868,534
YBL091C,0.10403375215785302,-38.2,146,31,3.031328024251351,0.042377666860869155,-8.96,30.9,0.414556833,1266
YBL091C-A,0.030361743033226002,-21.35,132,13,1.6924990760752854,0.13936637499450788,0.0,30.5,0.321349137,528
YBL092W,-0.30769859860972,-6.22,97,42,3.8563760915342438,0.45632755154946614,-0.21,22.2,0.623811054,393
YBL093C,0.400516945089252,-36.23,150,90,2.5529811183543916,0.013872638351200204,-12.23,37,0.340844813,663
YBL094C,,-161.07,608,920,,,-262.77,NaN,NaN,333
YBL095W,-0.18269894453811403,-14.6,118,21,2.3796542650129475,-0.6154850767183415,-1.83,48.5,0.337305992,813
YBL096C,,-17.0,92,1368,,,-404.46,NaN,NaN,309
YBL097W,0.807786584169526,-37.76,170,58,2.4828731847731955,-0.32453499041838024,-7.66,,0.364355934,2265
YBL098W,-0.245700369162267,NaN,NaN,NaN,2.129177324463765,0.17952308981527035,NaN,28.3,0.384227185,1383
YBL099W,-0.1237855516642791,-21.47,213,304,3.3562058341079384,0.2289179185506768,-48.53,24.2,0.510940007,1638
YBL100C,,NaN,NaN,NaN,,,NaN,NaN,NaN,315
YBL100W-A,,NaN,NaN,NaN,,,NaN,NaN,NaN,1317
YBL100W-B,,NaN,NaN,NaN,,,NaN,NaN,NaN,5313
YBL100W-C,,-33.61,140,55,,,-6.86,NaN,NaN,120
YBL101C,0.0803752456100071,-17.79,165,107,2.756092744493231,-0.15209157841633947,-24.03,,0.340506559,3354
YBL102W,-0.261282416462007,-23.04,166,88,2.5720391790358894,0.011425515605511917,-23.64,28.3,0.299953005,648
YBL103C,-0.16941043695047903,-73.74,378,260,2.549896701804062,0.0018452787791473492,-51.79,,0.368945749,1461
YBL104C,0.3640480067802566,-1.16,33,4,2.7210947130356957,-0.2396345594516731,0.0,32,0.339303852,3117
YBL105C,0.029360051741071008,-28.09,137,266,2.9478912773639574,-0.15427096574586346,-65.43,,0.374379082,3456
YBL106C,-0.08535542716780298,-26.5,138,45,2.478015099503779,-0.4840819089964402,-0.67,53.1,0.336695297,3033
YBL107C,0.21301778718280168,-12.64,119,6,2.247912519092683,-0.02999601032123089,0.0,32.7,0.338277558,591
YBL107W-A,,NaN,NaN,NaN,,,NaN,NaN,NaN,105
YBL108C-A,,NaN,NaN,NaN,,,NaN,NaN,NaN,129
YBL108W,,NaN,NaN,NaN,,,NaN,NaN,NaN,306
YBL109W,,NaN,NaN,NaN,,,NaN,NaN,NaN,336
YBL111C,,NaN,NaN,NaN,,,NaN,NaN,NaN,2004
YBL112C,,NaN,NaN,NaN,,,NaN,NaN,NaN,318
YBL113C,,NaN,NaN,NaN,,,NaN,NaN,NaN,2379
YBL113W-A,,NaN,NaN,NaN,,,NaN,NaN,NaN,483
YBR001C,0.03524036546435205,-9.39,69,139,2.391052349263558,-0.240744876023122,-19.41,37.6,0.346485695,2343
